",",[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
(145\mod 667)=145,=,(,0.7690644860267639,instead,0.0722954049706459,rather,0.05263129994273186,0.008560890331864357,6,0.0001863669604063034,34,1.317072939599484e-08,4921,NULL
(-304\mod 474)=170,=,),0.3256928026676178,.,0.2725852131843567,",",0.20600120723247528,0.01584194414317608,7,0.0063142310827970505,10,0.03798273950815201,4,NULL
(345\mod 364)=345,=,.,0.43325158953666687,=,0.2992963194847107,is,0.06770740449428558,0.2992963194847107,2,0.03394022583961487,6,2.8855434720753692e-05,108,2
(-995\mod 760)=525,=,.,0.47060105204582214,=,0.35425668954849243,),0.13271178305149078,0.35425668954849243,2,2.2156471459311433e-05,50,5.844794577569701e-05,31,2
(189\mod 69)=51,=,),0.5938173532485962,(,0.15314984321594238,every,0.09661996364593506,5.399502697400749e-05,137,4.8827820137375966e-05,144,1.5734898397568031e-06,1031,NULL
(-652\mod 213)=200,=,",",0.4607636630535126,=,0.3878813087940216,;,0.06622476130723953,0.3878813087940216,2,7.167442163336091e-06,86,5.900153155380394e-06,91,2
(-12\mod 897)=885,=,.,0.5981932282447815,=,0.18430383503437042,<,0.07104218006134033,0.18430383503437042,2,0.07104218006134033,3,0.005199695937335491,10,2
(-90\mod 647)=557,=,.,0.7500635981559753,=,0.16231197118759155,-,0.05419604107737541,0.16231197118759155,2,8.034453639993444e-05,18,0.00022274209186434746,12,2
(-197\mod 19)=12,=,+,0.4376211166381836,-,0.27803894877433777,:,0.1370069831609726,0.10611318051815033,4,0.0001038330010487698,18,1.5101762755875825e-06,196,NULL
(555\mod 121)=71,=,=,0.596152663230896,),0.13177242875099182,.,0.08475805073976517,0.596152663230896,1,0.00030807897564955056,54,2.8608787033590488e-05,213,1
(-86\mod 793)=707,=,.,0.8335762023925781,",",0.044064730405807495,),0.03658003360033035,0.011790123768150806,6,0.00011902714322786778,34,2.3029385829431703e-06,239,NULL
(-482\mod 672)=190,=,180,0.2378176599740982,176,0.2310972809791565,181,0.1221151128411293,2.6142632123082876e-05,289,9.751288416737225e-06,600,1.3520227639673976e-06,2496,NULL
(-932\mod 500)=68,=,.,0.27276739478111267,∧,0.24424026906490326,",",0.22989106178283691,0.007242882624268532,13,1.815498217183631e-05,190,1.6123914292620611e-06,777,NULL
(-638\mod 211)=206,=,.,0.4679412543773651,consider,0.15924270451068878,",",0.0862894281744957,0.014586706645786762,8,0.006820663809776306,13,0.0003866321931127459,58,NULL
(-588\mod 845)=257,=,+,0.6885840892791748,=,0.13086652755737305,reduction,0.04258081316947937,0.13086652755737305,2,0.0009039056021720171,18,0.004409111104905605,11,2
(-262\mod 384)=122,=,.,0.3042026162147522,),0.11967631429433823,page,0.1178150549530983,0.07020420581102371,5,0.03948893025517464,8,9.38814046094194e-05,116,NULL
(-861\mod 486)=111,=,+,0.49154213070869446,-,0.4322465658187866,\,0.024050012230873108,0.009803873486816883,6,0.0020063314586877823,8,9.920568118104711e-06,38,NULL
(660\mod 706)=660,=,(,0.8737372159957886,=,0.02978767268359661,",",0.029664356261491776,0.02978767268359661,2,9.693585889181122e-05,37,0.0001237952383235097,30,2
(-191\mod 581)=390,=,.,0.7367435097694397,f,0.12834662199020386,",",0.03279079124331474,0.008528322912752628,6,0.00018585656653158367,53,0.00028061631019227207,45,NULL
(781\mod 259)=4,=,=,0.7602118253707886,(,0.1367567926645279,),0.04898156225681305,0.7602118253707886,1,0.00011439447553129867,31,0.00047860504128038883,16,1
(60\mod 742)=60,=,),0.3996087610721588,says,0.27855342626571655,(,0.13432814180850983,0.036828238517045975,5,0.00038757474976591766,33,0.00040047187940217555,31,NULL
(-47\mod 628)=581,=,=,0.888700008392334,+,0.04201548174023628,.,0.031236417591571808,0.888700008392334,1,0.00012007023178739473,16,4.176369839115068e-05,24,1
(655\mod 23)=11,=,=,0.717422604560852,\,0.09112866967916489,),0.05870761349797249,0.717422604560852,1,5.690839316230267e-05,36,3.8102200505818473e-07,392,1
(380\mod 357)=23,=,.,0.591910183429718,),0.3129779100418091,·,0.020909026265144348,0.01197479572147131,6,0.0001810238027246669,22,4.765781795867952e-06,162,NULL
(-207\mod 911)=704,=,",",0.42061156034469604,=,0.42023226618766785,.,0.11077005416154861,0.42023226618766785,2,4.2114248799407505e-07,421,0.0001411390257999301,20,2
(369\mod 563)=369,=,(,0.997986912727356,=,0.00179801054764539,.,7.97650427557528e-05,0.00179801054764539,2,6.955982456702259e-09,72,9.130931011291921e-10,206,2
(122\mod 583)=122,=,<,0.41216546297073364,(,0.30328115820884705,=,0.09950006753206253,0.09950006753206253,3,0.41216546297073364,1,9.67444502748549e-05,40,3
(-213\mod 720)=507,=,),0.9122924208641052,.,0.06206807121634483,=,0.014624384231865406,0.014624384231865406,3,2.025999719990068e-06,90,5.248359684628667e-07,182,3
(-578\mod 765)=187,=,.,0.42247721552848816,<,0.17721335589885712,=,0.14246191084384918,0.14246191084384918,3,0.17721335589885712,2,6.715936615364626e-05,97,3
(785\mod 596)=189,=,189,0.19361482560634613,investigate,0.08419878780841827,=,0.06599599123001099,0.06599599123001099,3,0.009560149163007736,19,0.004042073152959347,31,3
(315\mod 83)=66,=,is,0.9132994413375854,=,0.05523480847477913,degrees,0.005525216460227966,0.05523480847477913,2,1.270150278287474e-05,147,3.541158093867125e-06,269,2
(510\mod 84)=6,=,),0.7706125974655151,(,0.1495160609483719,chapter,0.02572891116142273,0.0009219247149303555,13,3.191026110016537e-07,724,1.4607373088892928e-08,3493,NULL
(-409\mod 45)=41,=,.,0.6708790063858032,+,0.1463998407125473,-,0.06341655552387238,0.03214683756232262,4,0.00044557798537425697,22,1.6215000869124196e-05,68,NULL
(989\mod 499)=490,=,=,0.6444104313850403,\,0.2804127633571625,(,0.028799086809158325,0.6444104313850403,1,1.0300490430381615e-05,28,0.00010733911767601967,16,1
(16\mod 954)=16,=,is,0.48131975531578064,.,0.20345714688301086,),0.0723651573061943,0.009737987071275711,11,0.014304319396615028,7,0.000671924848575145,39,NULL
(-323\mod 140)=97,=,.,0.5877304673194885,=,0.3552270233631134,or,0.024617202579975128,0.3552270233631134,2,0.00026967073790729046,19,2.380113812705531e-07,691,2
(266\mod 31)=18,=,.,0.3328140676021576,",",0.2337324470281601,),0.22956408560276031,0.10915565490722656,4,2.2865009668748826e-05,126,9.440401299798395e-06,198,NULL
(745\mod 990)=745,=,(,0.8218173980712891,=,0.13942697644233704,.,0.014427334070205688,0.13942697644233704,2,7.502889638999477e-05,23,1.588531404195237e-06,129,2
(633\mod 242)=149,=,or,0.5646539330482483,),0.36281847953796387,and,0.03784666955471039,0.0116103021427989,4,1.3488222521118587e-06,230,2.3143762462041195e-08,1643,NULL
(-884\mod 565)=246,=,=,0.9297024011611938,),0.05055434629321098,>,0.004541827365756035,0.9297024011611938,1,2.9280896342243068e-05,33,0.004541827365756035,3,1
(-361\mod 800)=439,=,=,0.5186849236488342,),0.31939348578453064,.,0.1530342996120453,0.5186849236488342,1,1.6596568457316607e-06,73,1.4078153753871447e-06,84,1
(-117\mod 891)=774,=,.,0.6749034523963928,\,0.08565668761730194,",",0.07922492176294327,0.03315771371126175,6,2.5512192223686725e-05,80,2.000376298383344e-06,308,NULL
(25\mod 641)=25,=,(,0.9683104753494263,),0.02135872095823288,=,0.005403699818998575,0.005403699818998575,3,0.00010123292304342613,10,9.130024523074098e-07,55,3
(172\mod 525)=172,=,324,0.16447412967681885,334,0.0635281577706337,170,0.05119280517101288,1.3854943972546607e-05,1766,0.0009406270110048354,107,1.7713721263135085e-06,5598,NULL
(183\mod 910)=183,=,.,0.46483033895492554,",",0.17599697411060333,=,0.104422926902771,0.104422926902771,3,0.0007064482779242098,49,2.334812506887829e-06,1474,3
(813\mod 772)=41,=,.,0.5280457735061646,=,0.19472013413906097,(,0.1264113485813141,0.19472013413906097,2,0.0001946912525454536,37,1.6162574638656224e-06,244,2
(747\mod 406)=341,=,(,0.9948437213897705,),0.0014030660968273878,",",0.000984516809694469,2.2698442990076728e-05,24,1.0785343107500012e-07,581,1.0460278476731588e-10,14653,NULL
(944\mod 298)=50,=,.,0.8688924908638,interpretation,0.02469462901353836,view,0.019610058516263962,0.0020416013430804014,18,9.307365189670236e-07,1362,8.904255992092658e-06,325,NULL
(447\mod 294)=153,=,or,0.3050510585308075,=,0.16114047169685364,~,0.10445000231266022,0.16114047169685364,2,0.019864358007907867,9,1.2792879715561867e-05,471,2
(870\mod 610)=260,=,.,0.7115428447723389,),0.19982993602752686,=,0.02729998342692852,0.02729998342692852,3,0.00023966179287526757,44,0.00016356971173081547,56,3
(-953\mod 664)=375,=,.,0.8964955806732178,",",0.07379136979579926,=,0.017636006698012352,0.017636006698012352,3,3.944254558518878e-07,157,4.990959951101104e-06,46,3
(-262\mod 903)=641,=,.,0.8272631764411926,=,0.055092234164476395,(,0.044641610234975815,0.055092234164476395,2,6.1226401157910004e-06,77,1.1712905688909814e-05,60,2
(-509\mod 497)=485,=,=,0.39079779386520386,.,0.28038156032562256,⊆,0.09976054728031158,0.39079779386520386,1,0.0008907036390155554,19,0.000573007739149034,21,1
(620\mod 886)=620,=,ox,0.1953423172235489,(,0.11191503703594208,),0.09621979296207428,0.04702795669436455,6,0.0034380326978862286,26,1.5914176401565783e-05,952,NULL
(845\mod 264)=53,=,(,0.4937845766544342,.,0.27050402760505676,),0.029743313789367676,0.013398845680058002,9,4.788398291566409e-05,112,1.8409484709991375e-06,565,NULL
(851\mod 758)=93,=,⊆,0.4544640779495239,),0.22081363201141357,=,0.12668848037719727,0.12668848037719727,3,0.008559538051486015,9,0.00011329654807923362,88,3
(-527\mod 239)=190,=,180,0.6352589726448059,190,0.04250088334083557,189,0.03350209444761276,0.00018533311958890408,115,0.00041593628702685237,67,8.982788131106645e-05,183,NULL
(-754\mod 878)=124,=,),0.6014042496681213,=,0.26389771699905396,.,0.03678353130817413,0.26389771699905396,2,0.023273006081581116,5,3.5738845326704904e-05,103,2
(710\mod 766)=710,=,(,0.8611437678337097,<,0.0531841516494751,=,0.030790898948907852,0.030790898948907852,3,0.0531841516494751,2,1.5824541605979903e-06,330,3
(-190\mod 96)=2,=,),0.7996054291725159,.,0.07612048834562302,",",0.06896984577178955,0.008392276242375374,5,0.0002736122696660459,21,3.939464022550965e-06,107,NULL
(328\mod 850)=328,=,and,0.4649316966533661,(,0.211654394865036,72,0.028875188902020454,0.009775754064321518,10,6.24438762315549e-05,296,0.00025140438810922205,113,NULL
(306\mod 276)=30,=,=,0.944650411605835,),0.01125706359744072,is,0.007817472331225872,0.944650411605835,1,4.593168341671117e-06,120,0.00031469250097870827,17,1
(-525\mod 281)=37,=,.,0.7039510011672974,+,0.1786212921142578,=,0.022220568731427193,0.022220568731427193,3,5.244140766080818e-07,893,4.009689291706309e-06,300,3
(-489\mod 123)=3,=,+,0.7988188862800598,),0.08991813659667969,=,0.03253769129514694,0.03253769129514694,3,3.171290518366732e-05,46,3.1625655537936836e-05,47,3
(108\mod 530)=108,=,.,0.32462939620018005,=,0.09729886054992676,),0.08216750621795654,0.09729886054992676,2,0.02048272266983986,10,0.005457849241793156,17,2
(-621\mod 834)=213,=,",",0.3702254593372345,=,0.33949506282806396,;,0.21169418096542358,0.33949506282806396,2,0.000644597748760134,12,2.1422527424874716e-05,53,2
(221\mod 961)=221,=,),0.19562512636184692,⊆,0.1380089521408081,.,0.06873541325330734,0.004670946393162012,28,9.517749276710674e-05,407,2.3436659830622375e-06,3228,NULL
(292\mod 468)=292,=,=,0.9538986086845398,),0.019149379804730415,depth,0.009019925259053707,0.9538986086845398,1,4.16724979004357e-05,46,2.904311077145394e-05,57,1
(-362\mod 696)=334,=,",",0.4856266975402832,.,0.1063220426440239,334,0.062000952661037445,0.0019381293095648289,27,6.75669580232352e-05,280,4.739655923913233e-05,336,NULL
(303\mod 876)=303,=,),0.6943572759628296,=,0.09214872866868973,(,0.06023076921701431,0.09214872866868973,2,0.000773563573602587,25,7.152317994041368e-05,88,2
(-114\mod 778)=664,=,=,0.47924304008483887,.,0.37191519141197205,),0.09193229675292969,0.47924304008483887,1,2.2229987735045142e-06,136,1.0036836783910985e-06,208,1
(506\mod 360)=146,=,and,0.6856951117515564,",",0.07043884694576263,if,0.04680154100060463,0.015461280010640621,8,0.0004482846998143941,23,4.140170858590864e-06,181,NULL
(486\mod 569)=486,=,(,0.9913791418075562,),0.007830982096493244,.,0.0002470981271471828,8.331307617481798e-05,5,1.8358159437070753e-09,613,1.494017243253154e-09,671,NULL
(119\mod 729)=119,=,\,0.38917019963264465,-,0.20577572286128998,⊆,0.12680861353874207,0.06014204025268555,4,0.03300648182630539,7,0.0002870284952223301,35,NULL
(44\mod 759)=44,=,=,0.8892991542816162,(,0.07776777446269989,),0.009239164181053638,0.8892991542816162,1,0.0029951382894068956,7,4.345843626651913e-05,23,1
(-585\mod 49)=3,=,+,0.3572731018066406,=,0.23480156064033508,\,0.08099356293678284,0.23480156064033508,2,0.0012904684990644455,26,0.0005976904649287462,37,2
(-235\mod 537)=302,=,+,0.33344748616218567,=,0.31065016984939575,^,0.14294561743736267,0.31065016984939575,2,0.0004734001704491675,27,0.0001948081044247374,45,2
(865\mod 755)=110,=,(,0.8952195048332214,),0.07666918635368347,=,0.011657393537461758,0.011657393537461758,3,5.059412796981633e-05,19,3.479655390492553e-07,251,3
(-593\mod 314)=35,=,=,0.5136322975158691,/,0.13081388175487518,-,0.10047981142997742,0.5136322975158691,1,2.2948021069169044e-05,107,0.00011212255776626989,49,1
(-247\mod 283)=36,=,",",0.5975770950317383,.,0.33428966999053955,followed,0.010138213634490967,0.000393094087485224,25,1.6802503523649648e-05,240,3.081450472564029e-07,1901,NULL
(454\mod 413)=41,=,.,0.7015135884284973,(,0.172775536775589,=,0.07500844448804855,0.07500844448804855,3,4.558231375995092e-05,35,7.116663027773029e-07,207,3
(924\mod 241)=201,=,=,0.5938213467597961,),0.05577884614467621,\,0.053338672965765,0.5938213467597961,1,0.001169889117591083,36,0.000565237132832408,55,1
(785\mod 945)=785,=,(,0.9532626271247864,.,0.04419395700097084,=,0.0005736990715377033,0.0005736990715377033,3,5.698471795767546e-06,27,6.459009327386411e-09,1853,3
(74\mod 590)=74,=,(,0.999755322933197,],6.986255175434053e-05,[,5.309984044288285e-05,9.924731784849428e-06,5,4.76293742224243e-08,135,3.01328348939478e-08,177,NULL
(-936\mod 850)=764,=,.,0.4324321746826172,∧,0.17096656560897827,",",0.08504649996757507,0.0030522323213517666,23,5.525942924577976e-06,544,1.9868650724674808e-06,986,NULL
(44\mod 689)=44,=,(,0.9577904939651489,=,0.027867112308740616,[,0.004833986517041922,0.027867112308740616,2,0.002637450350448489,4,3.6663545870396774e-06,70,2
(763\mod 796)=763,=,(,0.9901982545852661,.,0.004757130052894354,=,0.0021279705688357353,0.0021279705688357353,3,5.540379788726568e-06,29,4.578437184932227e-08,247,3
(-733\mod 754)=21,=,=,0.5066516995429993,.,0.20328018069267273,+,0.1673668771982193,0.5066516995429993,1,0.0032687410712242126,12,2.699464403121965e-06,307,1
(132\mod 79)=53,=,+,0.31063997745513916,),0.30440977215766907,\,0.05527317151427269,0.023833783343434334,7,0.0009034122340381145,32,1.834248791965365e-06,499,NULL
(-689\mod 703)=14,=,+,0.8061938881874084,-,0.14102686941623688,.,0.029951877892017365,0.015272296033799648,4,0.00010182560072280467,17,1.111508026951924e-06,65,NULL
(-633\mod 127)=2,=,=,0.6748682260513306,+,0.11398550122976303,^,0.07776130735874176,0.6748682260513306,1,0.0015068644424900413,14,1.2156022421550006e-05,92,1
(615\mod 754)=615,=,),0.37123116850852966,(,0.3683323860168457,.,0.16236768662929535,0.07080018520355225,4,7.092685700627044e-05,31,1.8630613567438559e-06,180,NULL
(-775\mod 497)=219,=,),0.5018413662910461,.,0.10377476364374161,+,0.08325187116861343,0.016282174736261368,8,0.009798468090593815,10,9.728669829200953e-05,133,NULL
(-871\mod 374)=251,=,.,0.9337343573570251,=,0.03772043064236641,),0.022459762170910835,0.03772043064236641,2,2.2949550384510076e-06,53,3.4483339277358027e-06,42,2
(-341\mod 302)=263,=,=,0.1563524305820465,1,0.14658649265766144,set,0.0997748151421547,0.1563524305820465,1,0.00012952394899912179,239,1.2035275176458526e-07,8811,1
(-541\mod 182)=5,=,=,0.6037651896476746,:,0.10369750112295151,\,0.052270084619522095,0.6037651896476746,1,0.0008649562951177359,20,7.87309090810595e-06,120,1
(-646\mod 659)=13,=,=,0.6522127389907837,-,0.15665501356124878,mod,0.07862217724323273,0.6522127389907837,1,0.003520363476127386,9,8.800324735602771e-07,87,1
(-849\mod 150)=51,=,+,0.6076747179031372,=,0.19124433398246765,.,0.1360919177532196,0.19124433398246765,2,0.00038313737604767084,18,2.783004856610205e-05,55,2
(321\mod 904)=321,=,=,0.6554740071296692,.,0.16126996278762817,),0.08619687706232071,0.6554740071296692,1,2.0032965039717965e-05,48,1.1251716387050692e-05,63,1
(350\mod 830)=350,=,(,0.810771644115448,=,0.1743292510509491,\,0.006513124331831932,0.1743292510509491,2,6.21857407168136e-06,75,5.2193133370792566e-08,1127,2
(-114\mod 621)=507,=,),0.9735322594642639,.,0.014189917594194412,=,0.006330600939691067,0.006330600939691067,3,1.1243633707636036e-05,25,3.5744822071137605e-06,41,3
(-766\mod 668)=570,=,.,0.8229998350143433,",",0.15284278988838196,=,0.01334509439766407,0.01334509439766407,3,7.535823533544317e-05,28,5.996801974106347e-06,116,3
(-314\mod 566)=252,=,.,0.5154677629470825,=,0.41040900349617004,gives,0.039828214794397354,0.41040900349617004,2,4.625692963600159e-05,30,6.650679551967187e-06,71,2
(180\mod 494)=180,=,(,0.19807080924510956,write,0.1933644413948059,⊆,0.13488075137138367,0.12009695172309875,4,7.044263475108892e-05,164,7.828806701581925e-05,158,NULL
(-976\mod 979)=3,=,=,0.19873735308647156,),0.17630812525749207,(,0.14923343062400818,0.19873735308647156,1,0.0002637552679516375,29,1.5210149285849184e-05,103,1
(-114\mod 154)=40,=,),0.5626618266105652,.,0.37639757990837097,",",0.01974995993077755,0.002528515411540866,8,0.00015931602683849633,29,1.6114825029944768e-07,540,NULL
(-377\mod 787)=410,=,=,0.7393338084220886,-,0.21490371227264404,.,0.032247040420770645,0.7393338084220886,1,3.6934492527507246e-05,41,0.0030325620900839567,4,1
(775\mod 595)=180,=,.,0.38420382142066956,180,0.33126822113990784,add,0.13461251556873322,0.012516497634351254,7,6.917488235558267e-07,903,7.552099305030424e-06,290,NULL
(-375\mod 222)=69,=,.,0.964840292930603,75,0.018651315942406654,(,0.00460443738847971,0.0003511475515551865,8,0.00013841578038409352,17,4.361641003924888e-06,153,NULL
(-174\mod 346)=172,=,176,0.3862510919570923,",",0.34593257308006287,174,0.14347198605537415,2.5117780751315877e-05,269,0.0010423115454614162,17,2.565507202234585e-06,1299,NULL
(-838\mod 563)=288,=,216,0.3703380823135376,;,0.07279235869646072,288,0.046781402081251144,0.002942310180515051,36,5.411782240116736e-07,6018,3.320074756629765e-05,556,NULL
(708\mod 745)=708,=,(,0.9661485552787781,),0.028605349361896515,=,0.004206015262752771,0.004206015262752771,3,4.7432922656298615e-06,15,1.3308817869983613e-07,84,3
(859\mod 492)=367,=,(,0.6316499710083008,=,0.3323822319507599,⊆,0.019281577318906784,0.3323822319507599,2,3.6154572171653854e-06,63,4.7437847570108715e-06,52,2
(-410\mod 244)=78,=,.,0.7305707931518555,:,0.22418370842933655,=,0.0139819560572505,0.0139819560572505,3,2.3103108105715364e-05,45,2.141443218306449e-07,458,3
(-593\mod 227)=88,=,),0.2654772996902466,page,0.13171502947807312,86,0.09437806159257889,0.0017517232336103916,48,0.00013941667566541582,200,0.00028767980984412134,129,NULL
(729\mod 323)=83,=,=,0.398753821849823,(,0.38669854402542114,+,0.046817243099212646,0.398753821849823,1,0.0015329626621678472,21,8.67001563165104e-06,210,1
(853\mod 488)=365,=,=,0.7158628702163696,⊆,0.21527744829654694,:,0.030376868322491646,0.7158628702163696,1,4.2790761654032394e-06,255,0.00015964948397595435,35,1
(683\mod 737)=683,=,(,0.9896284341812134,),0.005528314504772425,",",0.003946923650801182,0.0004939146456308663,4,3.7246147144287534e-07,91,1.0899752567183896e-07,182,NULL
(-593\mod 939)=346,=,",",0.47543632984161377,.,0.41561493277549744,⊆,0.03272704780101776,0.02307916060090065,4,5.219811100687366e-06,133,3.65992309525609e-05,42,NULL
(-445\mod 828)=383,=,=,0.8998298645019531,(,0.019461994990706444,\,0.018992673605680466,0.8998298645019531,1,0.00019229238387197256,17,4.110960799152963e-05,35,1
(125\mod 758)=125,=,=,0.40207070112228394,(,0.24849933385849,),0.14439427852630615,0.40207070112228394,1,0.028978949412703514,5,6.340391337289475e-06,146,1
(801\mod 228)=117,=,),0.6135157346725464,=,0.22809171676635742,(,0.11100602895021439,0.22809171676635742,2,0.000910319562535733,13,2.0055028926435625e-06,181,2
(943\mod 927)=16,=,.,0.49940699338912964,is,0.2553457021713257,",",0.22752755880355835,0.0017863610992208123,6,1.296186565014068e-05,62,3.599104093154892e-05,41,NULL
(-550\mod 675)=125,=,.,0.42371752858161926,),0.25732386112213135,=,0.19366078078746796,0.19366078078746796,3,0.014774180017411709,7,0.000242223177338019,33,3
(-255\mod 13)=5,=,],0.5253816843032837,\,0.10496316105127335,y,0.08247693628072739,0.06705544888973236,5,2.5303030270151794e-05,104,2.535796375013888e-05,103,NULL
(688\mod 361)=327,=,.,0.7142603993415833,then,0.053617678582668304,⊆,0.021857596933841705,0.0023183287121355534,21,0.00027390869217924774,80,0.0022003841586411,23,NULL
(-808\mod 546)=284,=,.,0.5969110131263733,=,0.3551797568798065,:,0.041317231953144073,0.3551797568798065,2,2.8036745902682014e-07,207,1.4054663779461407e-06,82,2
(788\mod 701)=87,=,∧,0.6601879596710205,⊆,0.1346091777086258,=,0.08541230857372284,0.08541230857372284,3,0.022437602281570435,4,6.020212094881572e-05,73,3
(949\mod 315)=4,=,=,0.36861151456832886,",",0.20157602429389954,(,0.14717382192611694,0.36861151456832886,1,7.525121418439085e-06,234,4.529786565399263e-06,296,1
(800\mod 583)=217,=,=,0.8365136384963989,:,0.050016697496175766,.,0.03965996578335762,0.8365136384963989,1,0.0012178521137684584,13,8.92452517291531e-05,57,1
(107\mod 723)=107,=,=,0.9991045594215393,(,0.0003192642761860043,:,9.942919132299721e-05,0.9991045594215393,1,9.559230966260657e-05,4,1.544962856314669e-06,25,1
(-532\mod 260)=248,=,=,0.44133108854293823,",",0.25739964842796326,~,0.23682573437690735,0.44133108854293823,1,0.000629168120212853,13,0.0002925415465142578,15,1
(-252\mod 966)=714,=,=,0.9808881282806396,\,0.006435428746044636,⊆,0.003449804848060012,0.9808881282806396,1,0.0005182087770663202,7,7.901019785094832e-07,140,1
(-680\mod 820)=140,=,=,0.9386628866195679,",",0.01436509471386671,-,0.00737535348162055,0.9386628866195679,1,2.0036733985762112e-05,93,1.7914402633323334e-05,99,1
(-160\mod 548)=388,=,.,0.86504065990448,=,0.054969675838947296,),0.020429177209734917,0.054969675838947296,2,0.0003343565040268004,26,0.00015511977835558355,34,2
(-822\mod 136)=130,=,=,0.9568374156951904,is,0.017922591418027878,.,0.011002475395798683,0.9568374156951904,1,0.0007006559171713889,9,3.4330634662183e-05,31,1
(-738\mod 871)=133,=,.,0.6413012146949768,:,0.08289961516857147,=,0.071418896317482,0.071418896317482,3,0.0008263683994300663,23,1.2971989235666115e-05,163,3
(-633\mod 657)=24,=,=,0.5620056986808777,+,0.37671375274658203,-,0.023502076044678688,0.5620056986808777,1,0.00035308662336319685,11,6.119252793723717e-05,16,1
(-858\mod 256)=166,=,.,0.7953006029129028,:,0.05011339113116264,=,0.033157408237457275,0.033157408237457275,3,0.0023245366755872965,10,5.793416130472906e-05,93,3
(618\mod 99)=24,=,.,0.6011653542518616,=,0.17150408029556274,",",0.08253943920135498,0.17150408029556274,2,4.761616946780123e-05,38,9.471910016145557e-05,26,2
(-918\mod 16)=10,=,.,0.46675023436546326,mod,0.2121880203485489,is,0.11974066495895386,0.006437965668737888,10,0.00022198812803253531,63,9.313893315265886e-06,297,NULL
(-762\mod 639)=516,=,-,0.5399057865142822,.,0.2243063896894455,+,0.10347296297550201,0.05749287083745003,4,0.00010622369882185012,31,2.108581384163699e-06,184,NULL
(-553\mod 797)=244,=,),0.6690007448196411,=,0.29464131593704224,",",0.030497556552290916,0.29464131593704224,2,1.199914834160154e-08,1365,2.7577293337799347e-08,854,2
(-106\mod 158)=52,=,.,0.8166397213935852,(,0.05876700207591057,^,0.046011198312044144,0.00029942882247269154,21,2.093455259455368e-05,66,5.619907460641116e-05,45,NULL
(-415\mod 511)=96,=,=,0.6773989796638489,-,0.1210155338048935,<,0.09432989358901978,0.6773989796638489,1,0.09432989358901978,3,0.0006660905200988054,14,1
(-658\mod 97)=21,=,=,0.5211387872695923,.,0.41514110565185547,is,0.017022650688886642,0.5211387872695923,1,8.646524656796828e-05,31,2.8590748115675524e-06,170,1
(-319\mod 970)=651,=,.,0.6819766163825989,=,0.26665106415748596,;,0.014904419891536236,0.26665106415748596,2,9.063967922884331e-07,219,2.642729214130668e-06,130,2
(702\mod 419)=283,=,.,0.2911190986633301,=,0.25867247581481934,283,0.0695703774690628,0.25867247581481934,2,0.00010538225615164265,272,4.20077885792125e-05,462,2
(798\mod 638)=160,=,=,0.5407406687736511,.,0.3191973865032196,^,0.04927029460668564,0.5407406687736511,1,0.01797598786652088,5,0.0005011878674849868,19,1
(-634\mod 702)=68,=,.,0.8603023886680603,(,0.04249593988060951,∧,0.029124004766345024,0.0011609962675720453,14,0.00010551082959864289,41,3.302575919406081e-07,780,NULL
(229\mod 42)=19,=,.,0.6451178789138794,=,0.28035619854927063,:,0.03680185228586197,0.28035619854927063,2,0.0001817365555325523,19,0.00016844905621837825,20,2
(-257\mod 900)=643,=,=,0.4436454176902771,.,0.27355748414993286,",",0.1132129579782486,0.4436454176902771,1,2.2055355657357723e-05,153,1.0524314348003827e-05,225,1
(-899\mod 448)=445,=,.,0.9761723279953003,-,0.016142673790454865,",",0.002446696860715747,0.002322463085874915,4,0.0003422178269829601,7,2.4281611331389286e-05,22,NULL
(-436\mod 296)=156,=,.,0.8438882827758789,",",0.021860528737306595,consequently,0.016964364796876907,0.008132421411573887,5,0.0024860408157110214,16,5.699252596969018e-06,526,NULL
(868\mod 504)=364,=,.,0.4589323103427887,⊆,0.24876967072486877,(,0.10299240797758102,0.056733544915914536,5,7.886367711762432e-06,215,1.1752855471058865e-06,599,NULL
(775\mod 381)=13,=,),0.5522505044937134,(,0.19237889349460602,.,0.15029537677764893,0.04539044201374054,4,0.0009991570841521025,16,1.7080597899621353e-05,68,NULL
(-385\mod 144)=47,=,.,0.8798098564147949,),0.11679013818502426,],0.0015843819128349423,0.0006506626377813518,4,8.49574280437082e-05,8,2.4074793145700824e-06,33,NULL
(1\mod 679)=1,=,(,0.8817705512046814,=,0.0971706211566925,+,0.008896250277757645,0.0971706211566925,2,8.957297541201115e-05,17,5.563847338407868e-08,292,2
(-734\mod 221)=150,=,.,0.906427264213562,and,0.02875012904405594,^,0.013601466082036495,0.004857209045439959,7,0.00011759295011870563,33,8.846401215123478e-06,116,NULL
(634\mod 41)=19,=,.,0.9943089485168457,=,0.0039573777467012405,<,0.0002190908562624827,0.0039573777467012405,2,0.0002190908562624827,3,7.320136319322046e-07,113,2
(945\mod 498)=447,=,.,0.7616690397262573,",",0.1535259336233139,=,0.044204339385032654,0.044204339385032654,3,3.204683889634907e-05,26,6.83134057908319e-05,17,3
